Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description,Latitude,Longitude
Austin White Lime,78728,7/21/2016,96,"14001 MC NEIL RD
AUSTIN, TX 78728
(30.454673, -97.722828)",2803732,Routine Inspection,30.454673,-97.722828
Austin Woman's Club,78701,1/23/2017,95,"708 SAN ANTONIO ST
AUSTIN, TX 78701
(30.270943, -97.746751)",2800377,Routine Inspection,30.270943,-97.746751
Austin Y.M.B.L Sunshine Camps,78654,3/10/2016,100,"5001 SHAW DR
MARBLE FALLS, TX 78654
(30.49734, -98.113964)",11359811,Routine Inspection,30.49734,-98.113964
Austin YMBL Sunshine Camp,78746,2/25/2016,100,"2225 ANDREW ZILKER RD
AUSTIN, TX 78746
(30.265879, -97.772274)",11348428,Routine Inspection,30.265879,-97.772274
Austin's Moontower Saloon,78748,5/5/2014,87,"10212 MANCHACA RD
AUSTIN, TX 78748
(30.168899, -97.825771)",10720314,Routine Inspection,30.168899,-97.825771
Austins Pizza,78733,10/15/2015,97,"1705 N CUERNAVACA DR
AUSTIN, TX 78733
(30.340417, -97.863398)",11120698,Routine Inspection,30.340417,-97.863398
Austin's Pizza,78749,2/10/2016,98,"3601 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.214383, -97.831794)",2802932,Routine Inspection,30.214383,-97.831794
Austin's Pizza,78748,10/24/2016,98,"9900 S IH 35 SVRD SB Bldg M
AUSTIN, TX 78748
(30.153976, -97.791688)",10505732,Routine Inspection,30.153976,-97.791688
Austin's Pizza,78726,6/4/2014,97,"7301 N FM 620 RD Unit 140
AUSTIN, TX 78726
(30.40541, -97.853164)",2802951,Routine Inspection,30.40541,-97.853164
Austin's Pizza,78705,11/18/2014,94,"2324 GUADALUPE ST
AUSTIN, TX 78705
(30.286939, -97.741674)",2802926,Routine Inspection,30.286939,-97.741674
Austin's Pizza # 40,78705,8/17/2016,97,"2928 GUADALUPE ST
AUSTIN, TX 78705
(30.296234, -97.742271)",11031174,Routine Inspection,30.296234,-97.742271
Austin's Pizza #23,78731,3/14/2016,96,"3637 FAR WEST BLVD
AUSTIN, TX 78731
(30.354762, -97.756107)",2802912,Routine Inspection,30.354762,-97.756107
Austin's Pizza #4,78704,5/28/2014,88,"1817 S LAMAR BLVD
AUSTIN, TX 78704
(30.249869, -97.766749)",2802933,Routine Inspection,30.249869,-97.766749
Austin's Pizza #7,78759,10/3/2016,95,"10900 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.401922, -97.746122)",2802898,Routine Inspection,30.401922,-97.746122
Austin's Pizza-Index Hospitality,78731,6/17/2015,85,"1600 W 35TH ST
AUSTIN, TX 78731
(30.307323, -97.750883)",10236812,Routine Inspection,30.307323,-97.750883
Austinuts,78757,4/21/2015,100,"2900 W ANDERSON LN Bunit 19
AUSTIN, TX 78757
(30.359579, -97.737925)",2803454,Routine Inspection,30.359579,-97.737925
Autumn Leaves of NW Austin,78750,12/14/2015,100,"10025 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447134, -97.80022)",11347279,Routine Inspection,30.447134,-97.80022
Avenue B Grocery,78751,4/1/2014,89,"4403 AVENUE B
AUSTIN, TX 78751
(30.30918, -97.731637)",2800110,Routine Inspection,30.30918,-97.731637
Avenue Food Mart,78660,1/20/2015,97,"1700 GRAND AVENUE PKWY
AUSTIN, TX 78660
(30.455883, -97.660881)",10165419,Routine Inspection,30.455883,-97.660881
Avery Ranch Golf Club,78717,3/8/2016,84,"10500 AVERY CLUB DR
AUSTIN, TX 78717
(30.5032, -97.770425)",11385382,Routine Inspection,30.5032,-97.770425
Aviary,78704,3/10/2015,78,"2110 S LAMAR BLVD Unit C
AUSTIN, TX 78704
(30.248044, -97.771343)",10307780,Routine Inspection,30.248044,-97.771343
AVM Subway LLC,78701,9/12/2014,88,"809 CONGRESS AVE
AUSTIN, TX 78701
(30.270323, -97.741973)",10716361,Routine Inspection,30.270323,-97.741973
Azul Tequila,78731,4/9/2015,97,"3815 DRY CREEK DR
AUSTIN, TX 78731
(30.343133, -97.76393)",11067426,Routine Inspection,30.343133,-97.76393
Azul Tequila,78704,6/30/2014,89,"4211 S LAMAR BLVD NB
AUSTIN, TX 78704
(30.234848, -97.794618)",2801580,Routine Inspection,30.234848,-97.794618
B B Rover's Intl. Cafe,78759,2/2/2017,94,"12636 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.431004, -97.763845)",2800079,Routine Inspection,30.431004,-97.763845
B.D. Riley's Pub,78701,8/12/2016,87,"204 E 6TH ST
AUSTIN, TX 78701
(30.267586, -97.741132)",2801774,Routine Inspection,30.267586,-97.741132
Baby Acapulco #1,78741,1/17/2017,87,"1705 S LAKESHORE BLVD Bldg A
AUSTIN, TX 78741
(30.24488, -97.728661)",2800052,Routine Inspection,30.24488,-97.728661
Baby Acapulco #2,78704,10/24/2014,78,"1628 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.262892, -97.762527)",2800354,Routine Inspection,30.262892,-97.762527
Baby Acapulco #4,78753,8/5/2014,90,"13609 N IH 35 SVRD NB
AUSTIN, TX 78753
(30.42293, -97.671448)",2801593,Routine Inspection,30.42293,-97.671448
Baby Acapulco #4,78753,2/11/2015,87,"13609 N IH 35 SVRD NB
AUSTIN, TX 78753
(30.42293, -97.671448)",2801593,1st Follow Up to Routine of 50 - 69,30.42293,-97.671448
Baby Acapulco #5,78759,9/21/2015,80,"9505 STONELAKE BLVD
AUSTIN, TX 78759
(30.385984, -97.738951)",2802424,Routine Inspection,30.385984,-97.738951
"Backspace, The",78701,10/15/2014,90,"507 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.266916, -97.740594)",10527474,Routine Inspection,30.266916,-97.740594
Backspin Bar & Grill,78749,5/28/2015,93,"5000 W SLAUGHTER LN
AUSTIN, TX 78749
(30.20007, -97.864285)",10496468,Routine Inspection,30.20007,-97.864285
Bader Food Mart,78617,6/13/2016,77,"17305 PEARCE LN Unit A
AUSTIN, TX 78617
(30.141685, -97.568232)",2802234,Routine Inspection,30.141685,-97.568232
Badlands,78702,3/14/2016,96,"1203 CHICON ST
AUSTIN, TX 78702
(30.274086, -97.719989)",11174455,Routine Inspection,30.274086,-97.719989
Baguette House & Cafe,78753,4/8/2014,81,"10901 N LAMAR BLVD Bunit 312
AUSTIN, TX 78753
(30.378384, -97.688383)",10275866,Routine Inspection,30.378384,-97.688383
Bailey Middle School,78739,9/6/2016,97,"4020 LOST OASIS HOLW
AUSTIN, TX 78739
(30.163712, -97.873664)",2800881,Routine Inspection,30.163712,-97.873664
Baiti Food,78758,8/17/2016,99,"8309 RESEARCH BLVD NB
AUSTIN, TX 78758
(30.356189, -97.715224)",11380370,Routine Inspection,30.356189,-97.715224
"Baker St. The Corners, LLC",78704,2/1/2016,91,"3003 S LAMAR BLVD Bldg F
AUSTIN, TX 78704
(30.242293, -97.784168)",10529725,Routine Inspection,30.242293,-97.784168
Balcones Club Grill,78750,10/29/2014,96,"8600 BALCONES CLUB DR
AUSTIN, TX 78750
(30.437933, -97.780795)",10239563,Routine Inspection,30.437933,-97.780795
Balcones Club Restaurant,78750,5/20/2014,88,"8600 BALCONES CLUB DR
AUSTIN, TX 78750
(30.437933, -97.780795)",10239549,Routine Inspection,30.437933,-97.780795
Balcones Youth Sports,78727,3/16/2016,97,"3106 ADELPHI LN
AUSTIN, TX 78727
(30.418889, -97.710155)",2801104,Routine Inspection,30.418889,-97.710155
Baldwin Elementary,78739,9/29/2015,96,"12200 MERIDIAN PARK BLVD
AUSTIN, TX 78739
(30.184867, -97.92221)",10492636,Routine Inspection,30.184867,-97.92221
Balkan Cafe & Grill,78758,12/3/2015,91,"11800 N LAMAR BLVD Bldg 3
AUSTIN, TX 78758
(30.387546, -97.683659)",11143174,Routine Inspection,30.387546,-97.683659
Bamboo Bistro,78745,3/19/2015,77,"6818 WEST GATE BLVD
AUSTIN, TX 78745
(30.207506, -97.815277)",11047442,Routine Inspection,30.207506,-97.815277
Bamboo Bistro,78758,5/14/2015,94,"11101 BURNET RD Bunit 100
AUSTIN, TX 78758
(30.396129, -97.720128)",10439962,Routine Inspection,30.396129,-97.720128
Bamboo Garden,78745,5/14/2015,82,"625 W BEN WHITE BLVD EB
AUSTIN, TX 78745
(30.227169, -97.772022)",2800545,Routine Inspection,30.227169,-97.772022
Bamboo Garden,78745,9/30/2014,81,"625 W BEN WHITE BLVD EB
AUSTIN, TX 78745
(30.227169, -97.772022)",2800545,1st Follow Up to Routine of 50 - 69,30.227169,-97.772022
Bambu Desserts and Drinks,78753,5/20/2016,90,"10901 N LAMAR BLVD Bunit 120
AUSTIN, TX 78753
(30.378384, -97.688383)",11159907,Routine Inspection,30.378384,-97.688383
Banger's Sausage House and Beer Garden,78701,3/24/2016,95,"79 RAINEY ST
AUSTIN, TX 78701
(30.259022, -97.738686)",10801112,Routine Inspection,30.259022,-97.738686
Banzai,78756,3/30/2015,100,"3914 N LAMAR BLVD
AUSTIN, TX 78756
(30.307173, -97.741801)",2802572,Routine Inspection,30.307173,-97.741801
Bar 96,78701,3/26/2014,94,"96 RAINEY ST
AUSTIN, TX 78701
(30.260778, -97.738051)",10493057,Routine Inspection,30.260778,-97.738051
Baranoff Elem School,78748,10/26/2016,98,"12009 BUCKINGHAM GATE RD
AUSTIN, TX 78748
(30.153175, -97.852736)",2801262,Routine Inspection,30.153175,-97.852736
Barbara Jordan Elem School,78724,9/23/2015,97,"6711 JOHNNY MORRIS RD
AUSTIN, TX 78724
(30.300868, -97.647816)",2800461,Routine Inspection,30.300868,-97.647816
Barbarella,78701,7/20/2016,94,"611 RED RIVER ST
AUSTIN, TX 78701
(30.267097, -97.736981)",10529722,Routine Inspection,30.267097,-97.736981
Barcelona,78701,2/5/2015,87,"209 E 6TH ST
AUSTIN, TX 78701
(30.267663, -97.741403)",2802541,Routine Inspection,30.267663,-97.741403
Barchi Japanese Restaurant,78701,8/18/2014,84,"206 COLORADO ST
AUSTIN, TX 78701
(30.265206, -97.745331)",10490383,Routine Inspection,30.265206,-97.745331
Baretto,78759,1/5/2017,96,"10710 RESEARCH BLVD SB Unit 314
AUSTIN, TX 78759
(30.398617, -97.746473)",11555304,Routine Inspection,30.398617,-97.746473
Barfly's,78751,2/24/2015,90,"5420 AIRPORT BLVD
AUSTIN, TX 78751
(30.316817, -97.713769)",2801630,Routine Inspection,30.316817,-97.713769
Barlata,78704,2/12/2016,97,"1500 S LAMAR BLVD
AUSTIN, TX 78704
(30.252147, -97.7643)",10935114,Routine Inspection,30.252147,-97.7643
Barley Bean,78705,9/20/2016,79,"2222 RIO GRANDE ST Bunit 190
AUSTIN, TX 78705
(30.286839, -97.744777)",10815083,Routine Inspection,30.286839,-97.744777
Barley Bean,78701,11/29/2016,83,"303 COLORADO ST
AUSTIN, TX 78701
(30.265936, -97.745057)",11524788,Routine Inspection,30.265936,-97.745057
Barley Swine,78757,9/26/2016,89,"6555 BURNET RD Unit 400
AUSTIN, TX 78757
(30.341523, -97.738751)",11462795,Routine Inspection,30.341523,-97.738751
Barnes & Noble Book & Cafe,78759,8/29/2016,97,"10000 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.392352, -97.746845)",2800943,Routine Inspection,30.392352,-97.746845
Barnison Catering,78703,11/10/2014,94,"2614 EXPOSITION BLVD
AUSTIN, TX 78703
(30.301917, -97.764901)",10323264,Routine Inspection,30.301917,-97.764901
Barracuda Club,78701,10/27/2016,89,"611 E 7TH ST
AUSTIN, TX 78701
(30.267317, -97.73648)",11454645,Routine Inspection,30.267317,-97.73648
Barrington Elementary,78753,9/22/2015,100,"400 COOPER DR
AUSTIN, TX 78753
(30.360199, -97.696223)",2800127,Routine Inspection,30.360199,-97.696223
Bartlett's,78757,2/15/2017,84,"2408 W ANDERSON LN
AUSTIN, TX 78757
(30.356401, -97.731386)",11161816,Routine Inspection,30.356401,-97.731386
Barton Creek Elementary,78733,9/9/2016,97,"1370 PATTERSON RD
AUSTIN, TX 78733
(30.303892, -97.878065)",2800711,Routine Inspection,30.303892,-97.878065
Barton Creek Market,78735,4/27/2016,89,"2700 BARTON CREEK BLVD
AUSTIN, TX 78735
(30.28894, -97.871342)",10368062,Routine Inspection,30.28894,-97.871342
Barton Food Mart,78746,9/18/2014,92,"1500 SPYGLASS DR
AUSTIN, TX 78746
(30.258635, -97.786753)",11059581,Routine Inspection,30.258635,-97.786753
Barton Hill Food Mart,78704,6/16/2016,89,"2900 S LAMAR BLVD
AUSTIN, TX 78704
(30.243371, -97.782642)",10235373,Routine Inspection,30.243371,-97.782642
Barton Hills Assisted Living,78704,7/27/2015,97,"1606 NASH AVE
AUSTIN, TX 78704
(30.252383, -97.768899)",11231020,Routine Inspection,30.252383,-97.768899
Barton Hills Elementary,78704,5/6/2014,100,"2108 BARTON HILLS DR
AUSTIN, TX 78704
(30.254661, -97.782349)",2800338,Routine Inspection,30.254661,-97.782349
Barton Hills Market #1,78704,1/30/2017,88,"1220 BARTON HILLS DR
AUSTIN, TX 78704
(30.261519, -97.775149)",10400697,Routine Inspection,30.261519,-97.775149
Barton Springs Market,78704,2/9/2015,94,"1525 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.261775, -97.761106)",10076899,Routine Inspection,30.261775,-97.761106
Barton Springs Saloon,78704,4/17/2014,79,"424 S LAMAR BLVD SB
AUSTIN, TX 78704
(30.261249, -97.758464)",2803129,Routine Inspection,30.261249,-97.758464
Baskin Robbins,78745,12/16/2014,100,"730 W STASSNEY LN Unit 150
AUSTIN, TX 78745
(30.209029, -97.78292)",10001578,Routine Inspection,30.209029,-97.78292
Baskin Robbins,78748,4/1/2016,99,"9911 BRODIE LN Bunit 850
AUSTIN, TX 78748
(30.184608, -97.849046)",10457940,Routine Inspection,30.184608,-97.849046
Baskin Robbins,78758,12/5/2016,92,"12407 N MOPAC EXPY NB
AUSTIN, TX 78758
(30.41781, -97.704612)",2802274,Routine Inspection,30.41781,-97.704612
Baskin Robbins,78717,4/23/2015,96,"9900 W PARMER LN Unit 105
AUSTIN, TX 78717
(30.486211, -97.770513)",10232641,Routine Inspection,30.486211,-97.770513
Bat Bar,78701,7/2/2015,91,"218 E 6TH ST
AUSTIN, TX 78701
(30.267428, -97.740586)",10432734,Routine Inspection,30.267428,-97.740586
Baty Elementary,78741,9/24/2015,100,"2101 FARO DR
AUSTIN, TX 78741
(30.228179, -97.713468)",2801064,Routine Inspection,30.228179,-97.713468
Bawarchi Austin,78729,12/22/2016,63,"7318 MC NEIL DR Unit 102
AUSTIN, TX 78729
(30.435081, -97.767404)",10522431,Routine Inspection,30.435081,-97.767404
Bawarchi Austin,78729,5/29/2015,75,"7318 MC NEIL DR Unit 102
AUSTIN, TX 78729
(30.435081, -97.767404)",10522431,1st Follow Up to Routine of 50 - 69,30.435081,-97.767404
"BBCO, LLC dba Breed & Co",78705,1/4/2017,100,"718 W 29TH ST
AUSTIN, TX 78705
(30.296381, -97.744815)",11468113,Routine Inspection,30.296381,-97.744815
BC - All Star Burger,78738,7/12/2016,98,"12921 HILL COUNTRY BLVD Unit 105
BEE CAVE, TX 78738
(30.309564, -97.941855)",10655048,Routine Inspection,30.309564,-97.941855
BC - Amy's Ice Cream,78738,11/19/2014,100,"13420 GALLERIA CIR Unit 140
BEE CAVE, TX 78738
(30.309761, -97.939135)",10354145,Routine Inspection,30.309761,-97.939135
BC - Austin Burrito Company,78738,2/2/2017,90,"13011 SHOPS PKWY Unit 600
BEE CAVE, TX 78738
(30.307086, -97.945432)",11402150,Routine Inspection,30.307086,-97.945432
BC - Barnes & Noble Booksellers,78738,11/18/2015,100,"12701 HILL COUNTRY BLVD Unit 140
BEE CAVE, TX 78738
(30.308385, -97.938816)",10260391,Routine Inspection,30.308385,-97.938816
BC - Bee Cave Coffee Company,78738,6/9/2016,97,"13420 GALLERIA CIR Unit 110
BEE CAVE, TX 78738
(30.309761, -97.939135)",11034128,Routine Inspection,30.309761,-97.939135
BC - Bee Cave Elementary,78738,4/8/2014,96,"14300 HAMILTON POOL RD
BEE CAVE, TX 78738
(30.30799, -97.968608)",10260419,Routine Inspection,30.30799,-97.968608
BC - Bright Horizons at Bee Cave,78738,4/14/2015,100,"14058 BEE CAVE PKWY Bldg C
BEE CAVE, TX 78738
(30.311267, -97.964301)",11233840,Routine Inspection,30.311267,-97.964301
BC - Buenos Aires Cafe,78738,9/17/2014,83,"13500 GALLERIA CIR Unit 120
BEE CAVE, TX 78738
(30.309541, -97.938595)",10481869,Routine Inspection,30.309541,-97.938595
BC - Cafe Blue,78738,2/16/2017,94,"12800 HILL COUNTRY BLVD Unit 115
BEE CAVE, TX 78738
(30.308957, -97.940292)",11480984,Routine Inspection,30.308957,-97.940292
"BC - Candy Jar, The",78738,11/19/2014,100,"12700 HILL COUNTRY BLVD Unit T-110
BEE CAVE, TX 78738
(30.308451, -97.938986)",11003197,Routine Inspection,30.308451,-97.938986
BC - Chili's Grill & Bar,78738,11/20/2015,99,"12713 GALLERIA CIR
BEE CAVE, TX 78738
(30.307636, -97.939798)",11103927,Routine Inspection,30.307636,-97.939798
BC - Chisos Grill,78738,11/8/2016,92,"12700 HILL COUNTRY BLVD Unit S-100
BEE CAVE, TX 78738
(30.308451, -97.938986)",11482803,Routine Inspection,30.308451,-97.938986
BC - Cinemark Hill Country,78738,6/3/2016,100,"12812 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.309133, -97.940744)",10260645,Routine Inspection,30.309133,-97.940744
BC - Cuisine Royale by Mam,78738,8/4/2015,86,"3929 MARKET ST
BEE CAVE, TX 78738
(30.307616, -97.937139)",10794093,Routine Inspection,30.307616,-97.937139
BC - CVS/ Pharmacy # 8925,78738,10/27/2015,100,"14057 BEE CAVE PKWY
BEE CAVE, TX 78738
(30.311896, -97.963356)",11032384,Routine Inspection,30.311896,-97.963356
BC - Daily Juice Cafe,78738,7/12/2016,100,"12921 SHOPS PKWY Unit 450
BEE CAVE, TX 78738
(30.30675, -97.945008)",11128918,Routine Inspection,30.30675,-97.945008
BC - Falconhead Golf Club,78738,9/23/2016,97,"15201 FALCON HEAD BLVD
BEE CAVE, TX 78738
(30.320667, -97.968512)",10260799,Routine Inspection,30.320667,-97.968512
BC - Faraday's Kitchen Store,78738,5/31/2016,100,"12918 SHOPS PKWY Unit 540
BEE CAVE, TX 78738
(30.306709, -97.944897)",10925976,Routine Inspection,30.306709,-97.944897
"BC - Frost, A Gelato Shoppe",78738,2/6/2017,100,"12800 HILL COUNTRY BLVD Unit 150
BEE CAVE, TX 78738
(30.308957, -97.940292)",11569765,Routine Inspection,30.308957,-97.940292
BC - Fuddruckers,78738,2/27/2015,100,"12815 SHOPS PKWY Unit 100
BEE CAVE, TX 78738
(30.305757, -97.942392)",11077129,Routine Inspection,30.305757,-97.942392
BC - Hasler Brothers Steakhouse,78738,5/12/2016,90,"12801 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.309017, -97.940445)",11123679,Routine Inspection,30.309017,-97.940445
BC - Jersey Mike's Subs,78738,4/23/2014,97,"4005 MARKET ST
BEE CAVE, TX 78738
(30.307228, -97.937337)",10937488,Routine Inspection,30.307228,-97.937337
BC - Mandolas Italian Market,78738,9/6/2016,93,"12815 SHOPS PKWY Unit 400
BEE CAVE, TX 78738
(30.305757, -97.942392)",10338098,Routine Inspection,30.305757,-97.942392
BC - Maudie's Hill Country LLC,78738,5/27/2014,89,"12506 SHOPS PKWY
BEE CAVE, TX 78738
(30.304679, -97.93797)",10468660,Routine Inspection,30.304679,-97.93797
BC - Mimi's Cafe #142,78738,11/23/2015,87,"12613 GALLERIA CIR
BEE CAVE, TX 78738
(30.307057, -97.938368)",10261056,Routine Inspection,30.307057,-97.938368
BC - Panera Bread,78738,3/12/2015,78,"12901 HILL COUNTRY BLVD Unit 100
BEE CAVE, TX 78738
(30.309594, -97.941933)",10261319,Routine Inspection,30.309594,-97.941933
BC - Park Manor,78738,11/1/2016,93,"14058 BEE CAVE PKWY Bldg B
BEE CAVE, TX 78738
(30.311267, -97.964301)",11191042,Routine Inspection,30.311267,-97.964301
BC - Pei Wei Asian Diner,78738,1/30/2015,90,"12913 GALLERIA CIR Unit 101
BEE CAVE, TX 78738
(30.308793, -97.942766)",10299580,Routine Inspection,30.308793,-97.942766
BC - Plate by Dzintra,78738,1/27/2017,100,"12717 SHOPS PKWY Unit 100
BEE CAVE, TX 78738
(30.305053, -97.940736)",10521255,Routine Inspection,30.305053,-97.940736
BC - Primrose School of Bee Cave,78738,3/30/2016,100,"3801 JUNIPER TRCE
BEE CAVE, TX 78738
(30.308152, -97.934782)",11225177,Routine Inspection,30.308152,-97.934782
BC - Silverado,78738,1/6/2017,96,"14058 BEE CAVE PKWY Bldg A
BEE CAVE, TX 78738
(30.311267, -97.964301)",11511902,Routine Inspection,30.311267,-97.964301
BC - Simply Pho House,78738,10/22/2015,86,"12918 SHOPS PKWY Bunit 300
BEE CAVE, TX 78738
(30.306709, -97.944897)",11163304,Routine Inspection,30.306709,-97.944897
BC - Sonesta Bee Cave,78738,8/29/2016,96,"12525 BEE CAVE PKWY
BEE CAVE, TX 78738
(30.3095, -97.93395)",11330041,Routine Inspection,30.3095,-97.93395
"BC - Spec's Wine, Spirits & Finer Foods",78738,3/15/2016,98,"13015 SHOPS PKWY
BEE CAVE, TX 78738
(30.307606, -97.945544)",10321333,Routine Inspection,30.307606,-97.945544
BC - Subway,78738,1/5/2015,92,"12717 SHOPS PKWY Unit 600
BEE CAVE, TX 78738
(30.305053, -97.940736)",10262005,Routine Inspection,30.305053,-97.940736
BC - Tadashi,78738,3/17/2016,89,"12820 HILL COUNTRY BLVD Unit 105
BEE CAVE, TX 78738
(30.309337, -97.941269)",11022679,Routine Inspection,30.309337,-97.941269
BC - Tony C's,78738,2/2/2017,96,"12800 HILL COUNTRY BLVD Unit 160
BEE CAVE, TX 78738
(30.308957, -97.940292)",10262053,Routine Inspection,30.308957,-97.940292
BC - Twin Liquors Hill Country Galleria,78738,4/23/2015,100,"3925 MARKET ST
BEE CAVE, TX 78738
(30.307658, -97.937117)",10359618,Routine Inspection,30.307658,-97.937117
"BC - Verts Mediterranean Grill, Inc. ",78738,3/27/2014,100,"12800 GALLERIA CIR Unit 101
BEE CAVE, TX 78738
(30.307985, -97.940692)",10855724,Routine Inspection,30.307985,-97.940692
BC - Walgreens #11272,78738,4/23/2015,97,"12200 BEE CAVE PKWY
BEE CAVE, TX 78738
(30.307203, -97.931757)",10262066,Routine Inspection,30.307203,-97.931757
BC - We Olive & Wine Bar,78738,12/12/2014,83,"12800 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.308957, -97.940292)",11087595,Routine Inspection,30.308957,-97.940292
BC - Whole Foods Market - Bakery,78738,5/28/2015,100,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744418,Routine Inspection,30.307885,-97.937525
BC - Whole Foods Market - Coffee Bar,78738,7/9/2014,100,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744625,Routine Inspection,30.307885,-97.937525
BC - Whole Foods Market - Meat,78738,1/20/2015,97,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744450,Routine Inspection,30.307885,-97.937525
BC - Whole Foods Market - Prepared Foods,78738,6/15/2016,100,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744463,Routine Inspection,30.307885,-97.937525
BC - Whole Foods Market - Produce,78738,1/20/2015,100,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744462,Routine Inspection,30.307885,-97.937525
BC - Whole Foods Market - Retail,78738,1/3/2017,100,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744636,Routine Inspection,30.307885,-97.937525
BC - Whole Foods Market - Seafood,78738,12/1/2015,99,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744436,Routine Inspection,30.307885,-97.937525
BC - Whole Foods Market - Specialty,78738,1/20/2015,100,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744425,Routine Inspection,30.307885,-97.937525
BC - Whole Foods Market - Wine Bar,78738,1/20/2015,100,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744457,Routine Inspection,30.307885,-97.937525
"BC - Woody's Tavern and Grill, Inc",78738,2/5/2016,84,"12801 SHOPS PKWY Unit 100
BEE CAVE, TX 78738
(30.305356, -97.941418)",11093282,Routine Inspection,30.305356,-97.941418
BC - World Market #276,78738,11/24/2015,100,"12700 SHOPS PKWY Unit 200
BEE CAVE, TX 78738
(30.304866, -97.940164)",10262080,Routine Inspection,30.304866,-97.940164
"BC - Yogurt Planet, LLC",78738,4/24/2015,100,"12801 HILL COUNTRY BLVD Unit 103
BEE CAVE, TX 78738
(30.309017, -97.940445)",10262867,Routine Inspection,30.309017,-97.940445
Beatniks Market,78745,2/17/2017,95,"4415 MANCHACA RD
AUSTIN, TX 78745
(30.228343, -97.789354)",11130443,Routine Inspection,30.228343,-97.789354
Becker Elementary,78704,5/1/2014,100,"906 W MILTON ST
AUSTIN, TX 78704
(30.25023, -97.759949)",2800433,Routine Inspection,30.25023,-97.759949
Bedichek Jr High,78745,4/29/2015,92,"6809 BILL HUGHES RD
AUSTIN, TX 78745
(30.194025, -97.78607)",2800330,Routine Inspection,30.194025,-97.78607
Bee Cave Coffee Co.,78758,10/28/2015,97,"3220 AMY DONOVAN PLZ Unit 100
AUSTIN, TX 78758
(30.396615, -97.727517)",11260327,Routine Inspection,30.396615,-97.727517
"Bee Grocery, The",78702,3/10/2016,88,"1001 E 6TH ST
AUSTIN, TX 78702
(30.26505, -97.732382)",11251134,Routine Inspection,30.26505,-97.732382
Beerland,78701,9/10/2015,93,"711-1/2 RED RIVER ST
AUSTIN, TX 78701
(30.267874, -97.736696)",2801704,Routine Inspection,30.267874,-97.736696
Beijing Wok,78749,12/10/2014,76,"8106 BRODIE LN Unit 109
AUSTIN, TX 78749
(30.20184, -97.838207)",10356174,Routine Inspection,30.20184,-97.838207
Bella Donna Subs,78744,3/17/2015,85,"4612 BURLESON RD
AUSTIN, TX 78744
(30.213281, -97.732809)",11206604,Routine Inspection,30.213281,-97.732809
"Belmont, The",78701,12/1/2015,94,"305 W 6TH ST
AUSTIN, TX 78701
(30.268843, -97.745603)",10945429,Routine Inspection,30.268843,-97.745603
Ben White Gas & Beverage,78741,9/29/2015,100,"2250 E BEN WHITE BLVD WB
AUSTIN, TX 78741
(30.216232, -97.739175)",2804008,Routine Inspection,30.216232,-97.739175
Ben White Shell,78745,8/13/2014,93,"2125 W BEN WHITE BLVD EB
AUSTIN, TX 78745
(30.231155, -97.791658)",2803759,Routine Inspection,30.231155,-97.791658
Bennu Coffee,78702,11/24/2015,98,"2001 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78702
(30.280055, -97.719699)",10257417,Routine Inspection,30.280055,-97.719699
Berkman Food Mart,78723,6/29/2016,88,"6615 BERKMAN DR
AUSTIN, TX 78723
(30.319718, -97.689048)",2803871,Routine Inspection,30.319718,-97.689048
Berry Austin,78731,9/15/2015,97,"5523 BALCONES DR Unit A
AUSTIN, TX 78731
(30.336637, -97.75764)",10371863,Routine Inspection,30.336637,-97.75764
Berryaustin 2 Go,78701,2/1/2016,91,"200 CONGRESS AVE
AUSTIN, TX 78701
(30.264509, -97.744118)",10550264,Routine Inspection,30.264509,-97.744118
Bertha Sadler Means YWLA,78723,12/20/2016,97,"6401 NORTH HAMPTON DR
AUSTIN, TX 78723
(30.314462, -97.681135)",2800249,Routine Inspection,30.314462,-97.681135
