Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Applied Materials,78754,2/11/2016,92,"9700 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",10527315,Routine Inspection
Ashley's Playhouse,78729,1/7/2016,97,"13343 N US 183 HWY NB Unit 200
AUSTIN, TX 78729
",11078207,Routine Inspection
Asian Beverage Corp.,78660,2/10/2017,96,"1200 W HOWARD LN Bunit O
AUSTIN, TX 78660
",2802746,Routine Inspection
Austex Shell,78750,3/11/2015,92,"13296 N US 183 HWY SB
AUSTIN, TX 78750
",10103836,Routine Inspection
Austin Golf Club,78669,2/29/2016,87,"24900 W SH 71
SPICEWOOD, TX 78669
",2801719,Routine Inspection
Austin Gourmet Popcorn,78729,4/13/2016,97,"13343 N US 183 HWY NB Unit 250
AUSTIN, TX 78729
",11423650,Routine Inspection
Austin Transitional Center,78617,1/8/2015,100,"3154 E SH 71 EB
AUSTIN, TX 78617
",10402997,Routine Inspection
Austin's Park n Pizza,78660,4/27/2015,82,"16231 N IH 35 SVRD NB
AUSTIN, TX 78660
",2801896,Routine Inspection
Austin's Pizza,78660,4/7/2016,98,"15424 FM 1825 RD Bunit 230
AUSTIN, TX 78660
",10220410,Routine Inspection
BC - Baguette et Chocolat,78738,3/12/2015,100,"12101 FM 2244 RD Bldg 6
BEE CAVE, TX 78738
",10393760,Routine Inspection
BC - Bamam,78738,1/9/2015,94,"14211 W SH 71
BEE CAVE, TX 78738
",10737435,Routine Inspection
BC - Chick-Fil-A of Lake Travis,78738,1/12/2016,100,"3600 S FM 620 RD Bldg C
BEE CAVE, TX 78738
",10260547,Routine Inspection
BC - Einstein Bros. Bagels #3633,78738,1/27/2017,99,"12532 FM 2244 RD Bunit 100
BEE CAVE, TX 78738
",11258261,Routine Inspection
BC - Emerald Restaurant,78738,2/20/2015,80,"13614 W SH 71
BEE CAVE, TX 78738
",10260786,Routine Inspection
BC - Grace House of Lake Travis (East),78738,1/5/2015,100,"11825 FM 2244 RD
BEE CAVE, TX 78738
",10260860,Routine Inspection
BC - Grace House of Lake Travis (West),78738,1/5/2015,100,"11825 FM 2244 RD
BEE CAVE, TX 78738
",10274273,Routine Inspection
BC - HEB Food Store #404,78738,1/5/2017,100,"12400 W SH 71
BEE CAVE, TX 78738
",10260892,Routine Inspection
BC - HEB Food Store #404 (Deli/Bakery),78738,1/5/2017,100,"12400 W SH 71
BEE CAVE, TX 78738
",10260923,Routine Inspection
BC - Hill Country Food Mart,78738,4/14/2015,82,"13908 W SH 71 Bldg A
BEE CAVE, TX 78738
",10426941,Routine Inspection
BC - Jersey Giant Pizza,78738,2/24/2015,100,"13908 W SH 71
BEE CAVE, TX 78738
",11077106,Routine Inspection
BC - Kwik Chek #55,78738,1/26/2015,97,"14417 W SH 71 Bldg A
BEE CAVE, TX 78738
",10374866,Routine Inspection
BC - Lake Hills Church,78738,3/16/2015,100,"11521 FM 2244 RD
BEE CAVE, TX 78738
",10934346,Routine Inspection
BC - Learn and Laugh Preschool,78738,1/27/2017,95,"11715 FM 2244 RD
BEE CAVE, TX 78738
",11276316,Routine Inspection
BC - Los Pinos Restaurant #2,78738,2/12/2015,96,"11715 FM 2244 RD
BEE CAVE, TX 78738
",10945087,Routine Inspection
BC - McDonald's #8056,78738,2/6/2017,92,"12514 W SH 71
BEE CAVE, TX 78738
",10261051,Routine Inspection
BC - Napolis Italian Restaurant,78738,3/12/2015,83,"11905 FM 2244 RD Unit 100
BEE CAVE, TX 78738
",10631799,Routine Inspection
BC - Pizza Hut,78738,3/19/2015,96,"3620 S FM 620 RD Unit 160
BEE CAVE, TX 78738
",11216206,Routine Inspection
BC - Rocco's Grill,78738,1/25/2016,84,"12432 FM 2244 RD
BEE CAVE, TX 78738
",11336728,Routine Inspection
BC - Rosie's Tamale House,78738,1/27/2017,95,"13436 W SH 71
BEE CAVE, TX 78738
",10261963,Routine Inspection
BC - Salsas Restaurant,78738,1/10/2017,88,"3480 S FM 620 RD
BEE CAVE, TX 78738
",11389510,Routine Inspection
BC - Schmidt Family Barbecue,78738,2/24/2015,96,"12532 FM 2244 RD
BEE CAVE, TX 78738
",10967911,Routine Inspection
BC - Speedy Stop #116,78738,2/6/2017,97,"13006 W SH 71
BEE CAVE, TX 78738
",10974171,Routine Inspection
BC - Starbucks Coffee #6397,78738,4/22/2015,100,"12400 W SH 71 Unit 710
BEE CAVE, TX 78738
",10261986,Routine Inspection
BC - Subway #15557,78738,1/17/2017,100,"11701 FM 2244 RD
BEE CAVE, TX 78738
",10305357,Routine Inspection
BC - Target # 1812 - Pizza Hut,78738,4/16/2015,100,"3702 S FM 620 RD
BEE CAVE, TX 78738
",10262029,Routine Inspection
BC - Target #1812,78738,4/16/2015,100,"3702 S FM 620 RD
BEE CAVE, TX 78738
",10262022,Routine Inspection
BC - ThunderCloud Subs,78738,1/30/2017,96,"12400 W SH 71 Unit 706
BEE CAVE, TX 78738
",11250915,Routine Inspection
BC - Tokyo Gardens Catering,78738,5/27/2014,97,"12400 W SH 71
BEE CAVE, TX 78738
",10262036,Routine Inspection
BC - Yaghi's New York Pizzeria,78738,3/9/2015,88,"12400 W SH 71 Unit 510
BEE CAVE, TX 78738
",10262085,Routine Inspection
Baked By Amy's,78729,1/6/2015,97,"13265 N US 183 HWY NB Unit B
AUSTIN, TX 78729
",11008922,Routine Inspection
Barnes and Nobles Booksellers,78613,4/4/2016,94,"14010 N US 183 HWY SVRD SB
AUSTIN, TX 78613
",2801399,Routine Inspection
Bender Bar and Grill,78745,1/12/2015,77,"321 W BEN WHITE BLVD SVRD EB Unit 300
AUSTIN, TX 78745
",10080957,Routine Inspection
Biryani - N - Grill ,78717,2/13/2017,73,"13945 N US 183 HWY NB Bunit 5
AUSTIN, TX 78717
",11536344,Routine Inspection
Black Walnut Cafe,78730,1/14/2015,88,"10817 FM 2222 RD
AUSTIN, TX 78730
",11034123,Routine Inspection
Blaze Pizza,78717,6/17/2016,89,"14009 N US 183 HWY SVRD NB Unit 103
AUSTIN, TX 78717
",11450489,Routine Inspection
Boat House Grill,78732,2/8/2016,93,"6816 N FM 620 RD Unit B
AUSTIN, TX 78732
",2801482,Routine Inspection
Bombshells,78660,1/12/2016,83,"15119 N IH 35 SVRD NB Bldg C
AUSTIN, TX 78660
",11085152,Routine Inspection
Boomerz Night Club,78735,1/3/2017,95,"6148 W US 290 HWY SVRD WB
AUSTIN, TX 78735
",2803026,Routine Inspection
Branch Bar-B-Que,78728,1/29/2016,87,"1779 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",2800990,Routine Inspection
Bribery Bakery,78728,1/12/2017,90,"2013 W WELLS BRANCH PKWY Unit 109
AUSTIN, TX 78728
",11276650,Routine Inspection
Burger King # 9353,78749,8/25/2016,93,"5033 W US 290 HWY SVRD EB
AUSTIN, TX 78749
",11428784,Routine Inspection
Burger King #3990,78750,10/3/2016,83,"13450 N US 183 HWY SB
AUSTIN, TX 78750
",11428794,Routine Inspection
CC Zing,78750,1/15/2015,93,"12129 N FM 620 RD Bunit 445
AUSTIN, TX 78750
",10454916,Routine Inspection
CEFCO #91,78717,2/18/2016,90,"14200 N FM 620 RD SB
AUSTIN, TX 78717
",10995740,Routine Inspection
CVS/Pharmacy #8322,78750,2/9/2017,98,"11725 N FM 620 RD
AUSTIN, TX 78750
",2804049,Routine Inspection
Caffe Yolly,78750,5/27/2016,95,"12129 N FM 620 RD Bunit 102
AUSTIN, TX 78750
",11343781,Routine Inspection
Carving Board Deli,78752,3/21/2014,100,"6448 E US 290 HWY WB
AUSTIN, TX 78752
",2800214,Routine Inspection
Cedro,78613,1/22/2016,95,"14028 N US 183 HWY SVRD SB Bunit 210
AUSTIN, TX 78613
",11094820,Routine Inspection
Central Star Lodge #1631,78723,4/24/2015,100,"7237 E US 290 HWY EB
AUSTIN, TX 78723
",2800264,Routine Inspection
Cheddar's Casual Cafe,78660,1/5/2015,86,"15119 N IH 35 SVRD NB
AUSTIN, TX 78660
",2802055,Routine Inspection
Cheddars,78729,4/21/2014,83,"13301 N US 183 HWY NB
AUSTIN, TX 78729
",2802482,Routine Inspection
Cherrywood ,78722,5/28/2015,84,"1400 E 38TH HALF ST
AUSTIN, TX 78722
",2802807,Routine Inspection
Chen Z Noodle House,78749,2/11/2015,84,"6705 W US 290 HWY Unit 606
AUSTIN, TX 78749
",11119608,Routine Inspection
China Cafe,78729,1/20/2016,74,"13729 N US 183 HWY NB Unit 695
AUSTIN, TX 78729
",2801517,Routine Inspection
Chinos and Gringos,78749,11/7/2016,96,"6705 W US 290 HWY Bunit 608
AUSTIN, TX 78749
",11495950,Routine Inspection
Chipotle Mexican Grill #847,78758,1/7/2016,98,"10515 N MOPAC EXPY NB Bunit 200
AUSTIN, TX 78758
",10176932,Routine Inspection
Church's Chicken,78729,4/3/2015,89,"13729 N US 183 HWY NB Unit 900
AUSTIN, TX 78729
",10005828,Routine Inspection
CiCi's Pizza,78717,1/25/2016,92,"14005 N US 183 HWY SVRD NB
AUSTIN, TX 78717
",11291687,Routine Inspection
Cindy's Gone Hog Wild,78612,2/2/2015,80,"5496 E SH 71 EB
AUSTIN, TX 78612
",10641968,Routine Inspection
Cindy's Gone Hog Wild,78612,3/14/2016,88,"5496 E SH 71 EB
AUSTIN, TX 78612
",10641968,1st Follow Up to Routine of 50 - 69
Circle K Store #2704675,78617,1/8/2016,88,"2453 SH 71
AUSTIN, TX 78617
",10762466,Routine Inspection
Circle K Store #2704682,78744,2/10/2016,75,"6500 S US 183 HWY SB
AUSTIN, TX 78744
",10762040,Routine Inspection
Circle K Store #2704688,78726,2/23/2015,100,"11000 FM 2222 RD
AUSTIN, TX 78726
",10758287,Routine Inspection
"Coffee Bean & Tea Leaf, The",78735,5/9/2016,96,"5030 W US 290 HWY WB
AUSTIN, TX 78735
",10873741,Routine Inspection
Comfort Suites,78729,1/20/2016,90,"13681 N US 183 HWY NB
AUSTIN, TX 78729
",2801697,Routine Inspection
Corner Store #1311,78735,3/7/2016,100,"7622 W SH 71
AUSTIN, TX 78735
",2803529,Routine Inspection
Corner Store #1570,78748,12/13/2016,97,"11206 S IH 35 SVRD SB
AUSTIN, TX 78748
",11433458,Routine Inspection
Corner Store #2102,78728,1/28/2016,94,"1779 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",2803435,Routine Inspection
Corner Store #238,78617,1/21/2016,87,"2001 E SH 71 SVRD WB
AUSTIN, TX 78617
",2803431,Routine Inspection
Country Home Learning Center #8,78750,2/20/2015,94,"13120 N US 183 HWY SB
AUSTIN, TX 78750
",2800795,Routine Inspection
County Line on the Lake,78731,1/7/2016,92,"5204 FM 2222 RD
AUSTIN, TX 78731
",2800070,Routine Inspection
Cover 2,78729,3/12/2015,93,"13701 N US 183 HWY NB
AUSTIN, TX 78729
",10718846,Routine Inspection
Crawfish Shack and Oyster Bar,78728,1/4/2016,80,"2013 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",10037846,Routine Inspection
Crawfish Shack and Oyster Bar,78728,6/19/2014,86,"2013 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",10037846,1st Follow Up to Routine of 50 - 69
Crawfish Shack and Oyster Bar,78728,11/5/2015,78,"2013 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",10037846,2nd Follow Up to 50 - 69
Creedmoor Elementary School,78747,3/13/2015,100,"5604 FM 1327 RD
CREEDMOOR, TX 78747
",2802859,Routine Inspection
Creek Side Cafe,78759,1/26/2017,98,"8310 N CAPITAL OF TEXAS HWY SB Bunit 155
AUSTIN, TX 78759
",10639178,Routine Inspection
Daily Juice Cafe,78726,2/3/2017,90,"11521 N FM 620 RD Bunit 1500
AUSTIN, TX 78726
",11453935,Routine Inspection
Dairy Queen,78750,1/19/2016,98,"12129 N FM 620 RD
AUSTIN, TX 78750
",2800713,Routine Inspection
Dang Banh Mi,78757,2/9/2016,81,"9070 RESEARCH BLVD SB Unit 201-B 2
AUSTIN, TX 78757
",11158260,Routine Inspection
Davod's Mediterranean Market,78729,1/8/2015,96,"13497 N US 183 HWY NB
AUSTIN, TX 78729
",11169342,Routine Inspection
Delaware Sub Shops,78735,2/17/2017,96,"7212 W SH 71 Unit D
AUSTIN, TX 78735
",11289395,Routine Inspection
Detour,78749,5/13/2015,96,"6705 W US 290 HWY Unit 107
AUSTIN, TX 78749
",2802552,Routine Inspection
Dollar Tree # 3211,78729,2/16/2017,90,"13729 N US 183 HWY NB Unit 650
AUSTIN, TX 78729
",11127582,Routine Inspection
Domino's,78750,2/16/2017,94,"13764 N US 183 HWY SB Unit A
AUSTIN, TX 78750
",11394071,Routine Inspection
Domino's #6592,78735,1/27/2017,96,"7626 W SH 71 Unit 101
AUSTIN, TX 78735
",11372793,Routine Inspection
Dominos,78728,1/27/2016,95,"2013 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",11393783,Routine Inspection
Donn's BBQ,78725,1/11/2016,84,"10003 FM 969 RD
AUSTIN, TX 78725
",10213950,Routine Inspection
Donut & Kolache Express,78750,12/13/2016,88,"13450 N US 183 HWY SB Unit 242
AUSTIN, TX 78750
",11500566,Routine Inspection
"Donut Hole, The",78749,1/12/2017,94,"6863 W US 290 HWY EB
AUSTIN, TX 78749
",10626313,Routine Inspection
Donut Palace,78728,1/26/2016,93,"2113 W WELLS BRANCH PKWY Unit 400-A
AUSTIN, TX 78728
",10353767,Routine Inspection
Donut Taco Palace I,78735,3/16/2015,92,"5446 W US 290 HWY WB Unit 101
AUSTIN, TX 78735
",10628960,Routine Inspection
Double Dave's Pizza,78729,1/19/2016,87,"13343 N US 183 HWY NB Unit 240
AUSTIN, TX 78729
",2802971,Routine Inspection
Dream Dinners,78750,3/25/2016,97,"12129 N FM 620 RD
AUSTIN, TX 78750
",10102975,Routine Inspection
El Agazajo Bar,78744,3/24/2014,97,"2406 S US 183 HWY SB
AUSTIN, TX 78744
",10713239,Routine Inspection
El Agazajo Grill LLC,78744,3/24/2014,90,"2408 S US 183 HWY SB
AUSTIN, TX 78744
",10716700,Routine Inspection
El Faro Taco and Cafe,78728,2/4/2016,90,"1779 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",10001292,Routine Inspection
El Michoacano Mexican Rest.,78617,1/27/2017,84,"2701 E SH 71 WB
AUSTIN, TX 78617
",2800796,Routine Inspection
El Tenampa Bar,78617,1/14/2016,84,"2429 E SH 71 WB
AUSTIN, TX 78617
",10410349,Routine Inspection
Family Dollar Store # 10028,78725,1/5/2017,88,"14001 FM 969 RD
AUSTIN, TX 78725
",11008198,Routine Inspection
Fazoli's Italian Food,78729,2/11/2016,90,"13201 N FM 620 RD NB
AUSTIN, TX 78729
",2801304,Routine Inspection
Fish Daddy's,78660,1/12/2016,92,"15119 N IH 35 SVRD NB Bldg B
AUSTIN, TX 78660
",10236095,Routine Inspection
Flea Market # L (Snow Cones),78754,5/3/2014,97,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2802136,Routine Inspection
Flea Market #A,78754,5/3/2014,94,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2800518,Routine Inspection
Flea Market #B,78754,5/3/2014,100,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2800519,Routine Inspection
Flea Market #C,78754,5/3/2014,97,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2800520,Routine Inspection
Flea Market #H,78754,5/3/2014,97,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2800525,Routine Inspection
Flea Market #I,78754,5/3/2014,97,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2800526,Routine Inspection
Flea Market #IC-1,78754,5/3/2014,100,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2800528,Routine Inspection
Flea Market #J,78754,5/3/2014,100,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2800527,Routine Inspection
Flea Market #K (Corn Stand),78754,5/3/2014,100,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2800936,Routine Inspection
Flea Market #X,78754,5/3/2014,96,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2800530,Routine Inspection
Flea Market #stage,78754,5/3/2014,100,"9500 E US 290 HWY SVRD WB
AUSTIN, TX 78754
",2800529,Routine Inspection
Food Mart,78736,3/2/2015,83,"9341 W SH 71
AUSTIN, TX 78736
",10867318,Routine Inspection
Foxhole Culinary Tavern,78717,2/9/2015,75,"13995 N US 183 HWY SVRD NB
AUSTIN, TX 78717
",11165272,Routine Inspection
Fred Groceries Inc.,78723,2/19/2015,92,"6715 E US 290 HWY EB
AUSTIN, TX 78723
",10001098,Routine Inspection
Freebirds World Burrito,78726,3/25/2016,91,"8300 N FM 620 RD Bunit 100
AUSTIN, TX 78726
",10923283,Routine Inspection
Fresh Heim,78750,3/16/2016,83,"13776 N US 183 HWY SB Unit 142
AUSTIN, TX 78750
",11267435,Routine Inspection
Gandhi Bazar and Curry in Hurry - 620,78750,3/17/2014,96,"12809 N FM 620 RD NB Unit 3
AUSTIN, TX 78750
",10768737,Routine Inspection
Garfield Market,78617,1/3/2017,80,"5300 E SH 71 EB
AUSTIN, TX 78617
",10768265,Routine Inspection
Gatti's Pizza #125,78736,2/3/2016,88,"7101 W SH 71 Bldg C
AUSTIN, TX 78736
",10065355,Routine Inspection
Gold's Gym - Anderson Arbor,78729,3/8/2016,94,"13435 N US 183 HWY NB
AUSTIN, TX 78729
",10796050,Routine Inspection
Golden Fried Chicken,78736,2/29/2016,97,"7101 W SH 71
AUSTIN, TX 78736
",2801247,Routine Inspection
Grey Rock Golf Club,78739,1/5/2017,94,"7401 SH 45 EB
AUSTIN, TX 78739
",11174208,Routine Inspection
HEB #031,78750,4/15/2015,94,"12860 N US 183 HWY SVRD SB
AUSTIN, TX 78750
",10082163,Routine Inspection
HEB #031Retail Food,78750,4/7/2015,100,"12860 N US 183 HWY SVRD SB
AUSTIN, TX 78750
",10082173,Routine Inspection
HEB #225 - Hwy 71 (Retail),78735,3/31/2014,89,"7010 W SH 71
AUSTIN, TX 78735
",2803537,Routine Inspection
HEB Food Store #225 - Hwy 71 (Deli/Cheese),78735,3/31/2014,97,"7010 W SH 71
AUSTIN, TX 78735
",2800419,Routine Inspection
HEB Food Store #659,78613,4/7/2015,100,"14028 N US 183 HWY SVRD SB
AUSTIN, TX 78613
",10848394,Routine Inspection
"HEB Store # 659 - Deli,Bakery & Produce",78613,3/17/2014,97,"14028 N US 183 HWY SVRD SB
AUSTIN, TX 78613
",11015114,Routine Inspection
HWY 71 Food & Fuel,78617,3/17/2015,94,"2777 E SH 71 WB
AUSTIN, TX 78617
",10334389,Routine Inspection
Harmony School of Political Science,78729,2/20/2015,100,"13415 N FM 620 RD NB
AUSTIN, TX 78729
",10655854,Routine Inspection
Hay Elotes,78660,1/12/2016,90,"1200 W HOWARD LN Bunit D
AUSTIN, TX 78660
",11299017,Routine Inspection
Hayley Cakes and Cookies,78730,4/5/2016,88,"10601 FM 2222 RD Bunit M
AUSTIN, TX 78730
",11042164,Routine Inspection
Hilltop Bar & Grill,78669,2/19/2015,94,"22308 W SH 71
SPICEWOOD, TX 78669
",2801301,Routine Inspection
Holiday Inn Austin Airport,78744,2/19/2015,89,"6711 E BEN WHITE BLVD SVRD EB Unit D
AUSTIN, TX 78744
",11094488,Routine Inspection
Holiday Inn Express & Suites,78750,11/14/2016,92,"12703 N FM 620 RD NB
AUSTIN, TX 78750
",11506369,Routine Inspection
Home 2 Suites,78613,4/28/2016,90,"14022 N US 183 HWY SVRD SB
AUSTIN, TX 78613
",10996579,Routine Inspection
Homer's Bar and Grill,78728,1/20/2016,87,"1779 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",10002015,Routine Inspection
Hornsby Dunlap Elementary,78725,3/11/2015,97,"13901 FM 969 RD
AUSTIN, TX 78725
",2800684,Routine Inspection
Hunan Chef at 620,78750,2/14/2017,76,"11815 N FM 620 RD
AUSTIN, TX 78750
",11522701,Routine Inspection
Hunan Riverplace Restaurant,78730,6/7/2016,77,"10601 FM 2222 RD Bldg A
AUSTIN, TX 78730
",11326050,Routine Inspection
IHOP,78729,4/17/2014,97,"13201 N FM 620 RD NB Bldg Q
AUSTIN, TX 78729
",2802880,Routine Inspection
INKA Chicken,78728,1/30/2015,84,"1707 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",10739509,Routine Inspection
It's All Good Bar B Q,78669,1/21/2015,100,"22112 W SH 71
SPICEWOOD, TX 78669
",10737270,Routine Inspection
Jack Allen's Kitchen,78735,2/2/2016,90,"7720 W SH 71
AUSTIN, TX 78735
",10377371,Routine Inspection
J5 Steakhouse,78669,3/28/2014,94,"21814 W SH 71
SPICEWOOD, TX 78669
",10533248,Routine Inspection
Jack in the Box #905,78754,2/10/2017,93,"8706 E US 290 HWY WB
AUSTIN, TX 78754
",10789972,Routine Inspection
Jason's Deli,78729,1/7/2015,95,"13729 N US 183 HWY NB Unit 800
AUSTIN, TX 78729
",2801512,Routine Inspection
Jersey Mike's Subs,78726,2/11/2015,100,"11521 N FM 620 RD Bunit 350
AUSTIN, TX 78726
",2802712,Routine Inspection
Jim's Coffee Shop,78750,2/16/2016,87,"12832 N US 183 HWY SVRD SB
AUSTIN, TX 78750
",2800319,Routine Inspection
Jim's Coffee Shop #29,78736,2/29/2016,89,"7101 W SH 71
AUSTIN, TX 78736
",2800710,Routine Inspection
Jimmy John's Gourmet Sandwiches,78729,4/13/2016,95,"13429 N US 183 HWY NB Unit 120
AUSTIN, TX 78729
",11230955,Routine Inspection
Juiceland Oakhill,78749,3/2/2016,92,"6705 W US 290 HWY Unit 610
AUSTIN, TX 78749
",10971092,Routine Inspection
KFC   Y343100,78729,1/6/2015,89,"13435 N US 183 HWY NB
AUSTIN, TX 78729
",10005095,Routine Inspection
KIPP Austin Brave,78725,4/2/2015,100,"8509 FM 969 RD Bldg 652
AUSTIN, TX 78725
",10184824,Routine Inspection
KIPP Austin Public Schools,78725,4/2/2015,100,"8509 FM 969 RD Bldg 615
AUSTIN, TX 78725
",10559492,Routine Inspection
Kerbey Lane Cafe,78729,3/30/2015,94,"13435 N US 183 HWY NB
AUSTIN, TX 78729
",10162925,Routine Inspection
Kobe Japanese Steakhouse,78750,4/3/2015,86,"13492 N US 183 HWY SB
AUSTIN, TX 78750
",2802022,Routine Inspection
Kung Fu Buffet,78660,5/11/2015,78,"15424 FM 1825 RD Bunit 280
AUSTIN, TX 78660
",10635833,Routine Inspection
Kwik Chek,78669,4/26/2016,97,"21024 W SH 71
SPICEWOOD, TX 78669
",11405844,Routine Inspection
LT Country Market,78738,5/5/2015,70,"3325 S FM 620 RD
BEE CAVE, TX 78738
",10675703,Routine Inspection
LW - AFC Sushi @ Randalls #1779,78734,1/5/2016,100,"2301 S FM 620 RD
LAKEWAY, TX 78734
",10898034,Routine Inspection
LW - Blackbird Bakery,78738,4/8/2016,92,"2300 LOHMANS SPUR RD Unit 163
LAKEWAY, TX 78738
",11398104,Routine Inspection
LW - CVS Pharmacy #80,78734,1/6/2017,100,"2306 S FM 620 RD
LAKEWAY, TX 78734
",10006331,Routine Inspection
LW - Cafe Castro Nova,78734,2/3/2016,89,"900 S FM 620 RD Unit C104
LAKEWAY, TX 78734
",2802975,Routine Inspection
LW - Cavalier Food Mart,78734,1/6/2015,94,"509 S FM 620 RD
LAKEWAY, TX 78734
",10627193,Routine Inspection
LW - Chicken Express,78734,3/18/2015,97,"2109 S FM 620 RD
LAKEWAY, TX 78734
",2802814,Routine Inspection
LW - China Pacific Restaurant,78734,1/31/2017,88,"107 S FM 620 RD Unit 107
LAKEWAY, TX 78734
",10839501,Routine Inspection
LW - Cho Sushi,78738,2/4/2016,96,"2422 S FM 620 RD Bldg A100
LAKEWAY, TX 78738
",10697643,Routine Inspection
"LW - Cigar Room, The",78734,2/19/2016,97,"1310 S FM 620 RD Bunit 12
LAKEWAY, TX 78734
",10209977,Routine Inspection
LW - Circle K Store #2704681  ,78734,1/6/2015,97,"1405 S FM 620 RD
LAKEWAY, TX 78734
",10758054,Routine Inspection
LW - CraigO's Pizza and Pastaria,78734,3/30/2015,93,"2501 S FM 620 RD Unit 100
LAKEWAY, TX 78734
",10652720,Routine Inspection
LW - Creamistry,78734,2/8/2017,100,"1510 S FM 620 RD
LAKEWAY, TX 78734
",11548300,Routine Inspection
LW - Crown Donut,78734,1/31/2017,95,"325 S FM 620 RD
LAKEWAY, TX 78734
",10545024,Routine Inspection
"LW - Donut Hole, The",78738,2/24/2016,95,"2422 S FM 620 RD Unit 124
LAKEWAY, TX 78738
",2802911,Routine Inspection
LW - Firehouse Subs,78734,1/15/2015,92,"900 S FM 620 RD
LAKEWAY, TX 78734
",10964761,Routine Inspection
"LW - Grove Wine Bar & Kitchen, The",78734,1/23/2017,84,"3001 S FM 620 RD
LAKEWAY, TX 78734
",10957424,Routine Inspection
LW - Grumpy Grouper,78734,9/20/2016,95,"1113 N FM 620 RD
LAKEWAY, TX 78734
",11475023,Routine Inspection
LW - Hampton Inn and Suites,78734,3/6/2015,91,"2013 S FM 620 RD
LAKEWAY, TX 78734
",10212018,Routine Inspection
LW - High Five Entertainment Center,78734,8/31/2016,86,"1502 S FM 620 RD
LAKEWAY, TX 78734
",11464387,Routine Inspection
LW - Jimmy John's Gourmet Sandwiches,78734,4/9/2015,100,"2410 S FM 620 RD
LAKEWAY, TX 78734
",11230968,Routine Inspection
LW - Juiceland,78738,2/4/2016,98,"2422 S FM 620 RD Unit 114
LAKEWAY, TX 78738
",11071750,Routine Inspection
LW - Lake Travis Wine Trader,78734,1/15/2015,100,"900 S FM 620 RD Unit C105
LAKEWAY, TX 78734
",10831600,Routine Inspection
LW - Lakeway Valero,78734,4/28/2015,96,"2103 S FM 620 RD
LAKEWAY, TX 78734
",2803881,Routine Inspection
"LW - League,The",78734,1/26/2017,79,"1310 S FM 620 RD
LAKEWAY, TX 78734
",10634138,Routine Inspection
LW - Lexus Of Lakeway,78734,2/1/2016,100,"108 S FM 620 RD
LAKEWAY, TX 78734
",11369378,Routine Inspection
LW - Little Greek Restaurant ,78738,2/4/2016,96,"2422 S FM 620 RD
LAKEWAY, TX 78738
",10937032,Routine Inspection
LW - MOD Superfast Pizza LLC,78734,10/27/2016,93,"1900 S FM 620 RD
LAKEWAY, TX 78734
",11491781,Routine Inspection
LW - Mad Greens,78734,2/8/2017,92,"2011 MAIN ST Unit 400
LAKEWAY, TX 78734
",11511869,Routine Inspection
LW - Merito Food Mart,78734,4/25/2016,92,"201 N FM 620 RD
LAKEWAY, TX 78734
",11289572,Routine Inspection
LW - Metro Food Mart,78734,1/15/2015,100,"903 S FM 620 RD
LAKEWAY, TX 78734
",2802530,Routine Inspection
LW - P. Terry's Burger Stand,78734,6/1/2015,100,"3311 S FM 620 RD
LAKEWAY, TX 78734
",10631422,Routine Inspection
LW - Pao's Mandarin House,78738,2/17/2015,93,"2300 LOHMANS SPUR RD Unit 134
LAKEWAY, TX 78738
",2801225,Routine Inspection
LW - Papa Johns #3688,78738,2/16/2016,99,"2422 S FM 620 RD
LAKEWAY, TX 78738
",11000289,Routine Inspection
LW - Papa Murphy's,78734,4/9/2015,100,"2303 S FM 620 RD
LAKEWAY, TX 78734
",10181405,Routine Inspection
LW - Raising Cane's Restaurants,78734,2/3/2017,97,"1600 S FM 620 RD
LAKEWAY, TX 78734
",11531765,Routine Inspection
LW - Randall's #1779,78734,1/5/2016,98,"2301 S FM 620 RD
LAKEWAY, TX 78734
",2803782,Routine Inspection
LW - Randall's #1779 - Bakery,78734,1/5/2016,100,"2301 S FM 620 RD
LAKEWAY, TX 78734
",2801980,Routine Inspection
